Date,Open,High,Low,Close,Volume,PriceCategory
2010-01-01,0.3,0.3034282369723857,0.2955096887746318,0.3,715.8,Low
2010-01-02,0.3,0.3043765793883228,0.2994593365823236,0.3,2028.3,Low
2010-01-03,0.3,0.3037357512436083,0.2958577466121563,0.3,273.0,Low
2010-01-04,0.3,0.3034058341430823,0.2984894975814977,0.3,1452.0,Low
2010-01-05,0.3,0.3027148323562317,0.2963302113660724,0.3,1002.6,Low
2010-01-06,0.3,0.3039815964444799,0.2981269442819001,0.3,872.6999999999999,Low
2010-01-07,0.3,0.3027942471041973,0.299572303961348,0.3,421.2,Low
2010-01-08,0.3,0.3053831061044578,0.2957924388201218,0.3,1030.5,Low
2010-01-09,0.3,0.3057928777348558,0.2971426428782199,0.3,2379.9,Low
2010-01-10,0.3,0.3024856166573069,0.2955718852237124,0.3,310.5,Low
2010-01-11,0.3,0.3048128327170711,0.2993791783591658,0.3,2347.2,Low
2010-01-12,0.3,0.3033147010425915,0.2966778404971627,0.3,894.9,Low
2010-01-13,0.3,0.3035378539982353,0.2993906815505022,0.3,2811.0,Low
2010-01-14,0.3,0.3055759008382682,0.2988800718397372,0.3,1825.5,Low
2010-01-15,0.3,0.3007049055317279,0.2952288444326151,0.3,2659.2,Low
2010-01-16,0.3,0.3007966370082988,0.2983965678629486,0.3,874.5,Low
2010-01-17,0.3,0.3004152448654099,0.2991680559513006,0.3,1514.4,Low
2010-01-18,0.3,0.3050459331196232,0.2988916903089524,0.3,2158.8,Low
2010-01-19,0.3,0.3047354934804142,0.2988938364057677,0.3,369.3,Low
2010-01-20,0.3,0.3052590692450068,0.2948902038217472,0.3,158.4,Low
2010-01-21,0.3,0.3058781245507267,0.2963373275407949,0.3,957.0,Low
2010-01-22,0.3,0.3048552038160353,0.2951836105775258,0.3,1566.6,Low
2010-01-23,0.3,0.3029304323648417,0.2982338511506295,0.3,1254.0,Low
2010-01-24,0.3,0.3047490163048328,0.2961298572549802,0.3,2197.8,Low
2010-01-25,0.3,0.3009741642274529,0.2945762267313698,0.3,1523.1,Low
2010-01-26,0.3,0.3039475498215668,0.2966564537027203,0.3,1032.9,Low
2010-01-27,0.3,0.3011171137382315,0.2947368158798875,0.3,1800.6,Low
2010-01-28,0.3,0.3056846128271825,0.2984571394266188,0.3,714.6,Low
2010-01-29,0.3,0.3032745354339754,0.2941885178099258,0.3,275.4,Low
2010-01-30,0.3,0.3026635730579459,0.2992457528151833,0.3,624.0,Low
2010-01-31,0.3,0.3018079669889963,0.2953616823495227,0.3,2934.0,Low
2010-02-01,0.3,0.304713132029775,0.2985502027015705,0.3,2558.4,Low
2010-02-02,0.3,0.3029000568936343,0.2990337400989226,0.3,626.4,Low
2010-02-03,0.3,0.3035400735085513,0.296513552190393,0.3,1213.2,Low
2010-02-04,0.3,0.3004071018624872,0.2978929729891844,0.3,2479.2,Low
